CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
CMG,2017,2,0.39412851909999996,1.1704192038,0.6479702081733008,0.6321281311535736,1.7985326626,6.6125909186,58.21692956968824,18.8101096121,32.2276502019,109.25468938368823,19.4044589599,0.03337438430406341,0.1347122688630012,0.02548536427292603,0.1109473371,0.1077472884,0.0519738028,279566480358.0,34721230899,0.0738916256,1.1914882341,0.1270562036,1.0418490065,-4.8801344410766525,2.170419203799732,1344726688200,66242694,10.5027418937,1.4658190942,0.3026920554,6.0286052992,400.2531049386367,13848.9122436797,5.6743809383
CMG,2017,1,0.3322405934,1.0012405485,0.6745266506459577,0.614052983269801,1.8207104679,7.09666838,57.01024205717396,20.4083929355,30.5347401058,107.95337509847396,17.8847987274,0.031975590896598315,0.15070045276081367,0.02234758953486926,0.1077717238,0.1121065328,0.0508056303,268787178992.0,34099977851,0.0,1.1875166782,0.1138039194,1.0078325786,-5.670031200740392,2.0689021213424943,1185744222600,66242694,9.7067098926,1.3142338231,0.2701314621,4.4589059098,359.7727101648372,13620.1029719913,5.2547344661
CMG,2016,4,0.43001896359999997,1.1594716746,0.5097375198120788,0.6037144808984253,1.8643964287,7.4745624816,50.13681108560961,19.4211520695,26.2097025763,95.76766573140961,18.7939417133,0.04877175654038622,0.13592018336081077,0.036888402024168904,0.1031745681,0.0,0.0501279946,257831100616.0,56764472440,0.0,1.2396636243,0.1329798886,1.0793505377,-10.932371055260267,2.159471674567489,957206928300,66242694,8.4387986223,1.0863595629,0.2231901228,5.6428793359,648.1269267068154,13301.3051054667,4.6229269753
CMG,2016,3,0.509618851,1.2130863162,0.5245229169172082,0.5755864371808755,1.8439943223,7.3894866216,55.50701591883118,21.5470791021,29.5931097715,106.64720479243118,16.9396509972,0.03988691629409364,0.12410387840152759,0.030662035972024153,0.104842778,0.0,0.0506155184,254821775473.0,46537599418,0.0649350649,1.2800749711,0.1118553906,1.1092772021,-6.454643060468014,2.1843898824912276,1020137487600,66242694,8.869031157,1.2163362658,0.2427909279,6.3937318218,540.0531676444198,12660.9724896306,5.2961375133
CMG,2016,2,0.4783103338,1.1186195998,0.5054199859755903,0.588855400047383,1.8027080107,6.9452976588,49.99449797400558,23.8923599528,27.7204552439,101.6073131707056,15.2768500358,0.03336939248324922,0.12962345682365012,0.020884503185124303,0.1047036051,0.0,0.0522310284,229187987346.0,32945828190,0.0632911392,1.3813352455,0.1222503133,1.1491246515,-4.1487638122806105,2.1186195997957227,1046634565200,66242694,9.2432592653,1.2169434898,0.2670917585,8.4378501595,311.27073513948574,12983.3473225376,5.8937317811
CMG,2016,1,0.4578862698,1.0006110969,0.5206021143551732,0.5764253283073639,1.7679254231,6.5725567052,47.526665247456556,23.807802825,28.8095039003,100.14397197275656,15.3311081532,0.03169375283382501,0.14579381540413994,0.016464247312097495,0.1028562902,0.0,0.0519823999,218420292897.0,30769119972,0.0704225352,1.3890351288,0.0934611212,1.1777658716,-4.648702212552878,2.0006110969065234,940646254800,66242694,8.6975813075,1.0959639934,0.2550486606,14.832784044,241.2933223398191,12956.6300404238,5.4497069094
CMG,2015,4,0.0,0.0,0.5172502584343265,0.5702880546238907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05279924654383909,0.14726968543696112,0.04011832869812067,0.0,0.0,0.0,0.0,56778413402,0.0,0.0,0.0,0.0,-11.55326391724484,1.9510388499703648,960519063000,66242694,7.5541918933,1.1473461872,0.2620901645,0.0,651.2689504596538,12637.8595764812,4.5652751725
CMG,2015,3,0.0,0.0,0.5394041524057932,0.542542303461806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050360169655653764,0.14853197227031031,0.038177128492085294,0.0,0.0,0.0,0.0,44575601173,0.0506329114,0.0,0.0,0.0,-7.078202161850688,1.94148898406242,1046634565200,66242694,8.2802823961,1.3172168646,0.3054827319,40.8955853643,510.12346138881367,11994.9876324496,5.4166206099
CMG,2015,2,0.6014353398000001,1.0229816445,0.5538511302549315,0.5256924997332948,1.9115966969,5.3802602828,50.600344570529664,20.7310950935,31.3665082255,102.69794788952966,17.6064022838,0.0317866086123956,0.12545520169928878,0.020513066635002783,0.1642481824,0.0,0.0686190453,169570783639.0,24055435031,0.0551724138,1.5153726561,0.4653963468,1.2680451863,-3.4559436429068513,2.022981644510759,960519063000,66242694,7.9233122822,1.248720802,0.2836529718,76.9676211847,234.34820173527362,11611.8831185665,5.7797765617
CMG,2015,1,0.0,0.0,1.0036129202073762,0.35084893126535655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05611460440480426,0.21165806866961218,0.040057307855166785,0.0,0.0,0.0,0.0,52851814222,0.0,0.0,0.0,0.0,-10.602882810551343,2.638230280173907,947270524200,66242694,9.3926913129,1.4049575137,0.2906739734,5.7839677556,569.5446360167658,10178.2437263588,6.0789305678
CMG,2014,4,1.0993324476000002,1.5489581193,0.9754053820892246,0.3501114747617269,1.7955733129,4.9314355265,50.565685345043825,23.6354583687,32.0948675373,106.29601125104381,15.4428991519,0.06354073556275099,0.16910759794522656,0.04712414858133687,0.1099881152,0.0,0.0408749694,197446802188.0,53526475224,0.0,1.3502181729,0.1497659841,1.121589513,-5.226409562745201,2.632815821329192,861155022000,66242694,12.3630812573,1.313292555,0.2806811109,8.2341442195,599.2691732162946,9898.7845088929,6.325477801
CMG,2014,3,1.0819549895,1.4054858077,1.0285429162870794,0.32811381945642815,1.8848625253,4.9567348725,45.39627427960008,23.4820256857,30.153810375,99.03211034030008,15.5438037963,0.04178978719267849,0.14174188243740554,0.03384237088559424,0.1092858744,6.2056233676,0.0402643888,175084809630.0,35321443763,0.0,1.3034869171,0.1203097883,1.0886216854,-3.5839162139210066,2.470670421044687,616057054200,66242694,9.3285191879,0.9796749176,0.198741481,196.1295794746,431.80839542848304,9492.9448863296,5.8734604094
CMG,2014,2,1.0965190428,1.7167176304,1.0594446289698396,0.3140691278455679,1.8136436607,4.875253216,45.47710111579803,24.5868146494,31.6774245703,101.74134033549804,14.8453553338,0.030543930328174776,0.1478821545582254,0.018569922155462177,0.0680915781,6.2056233676,0.0245058364,151462448771.0,19402692037,0.0,1.1644175009,0.1148533545,0.8357248127,-1.8850372666372064,2.8008912098943664,616057054200,66242694,15.3173449277,1.0302306205,0.2064122376,7.2062912693,178.07754796325162,9027.1050136789,6.6628374051
CMG,2014,1,1.188879043,1.7425314877,1.0832378754183523,0.308489682027646,1.7680169678,4.8776777954,46.892272490952124,23.5719373492,28.1241945376,98.58840437775213,15.4845142591,0.0056930658692836335,0.18370836193583245,-0.01372012684676025,0.0379044632,0.0,0.0134666503,138631395905.0,4242690053,0.0,1.1047526951,0.138624617,0.9595979733,-0.46613327328755383,2.8752660229899427,490195935600,66242694,22.1842834712,0.8260435533,0.1684985792,3.9550222728,-154.35305778777658,8958.3654150599,6.7815838899
CMG,2013,4,1.2206614359,1.6781580605,0.984563092288886,0.31691865820703863,1.2107845546,3.6955995472,69.16564067222232,47.0863567307,48.5425962657,164.79459366862233,7.7517146227,0.057408277083647624,0.14106622922501902,0.032577619483438854,0.044743993,0.0,0.0155368742,125377133348.0,47365805638,0.0,1.1866237171,0.2113885143,0.9705732878,-3.29694143649139,2.7549471996036576,450450319200,66242694,16.719639213,0.7465138301,0.2131424768,0.0,405.7623764063702,9109.0073960911,6.9652443205
CMG,2013,3,1.2395127159000001,1.6560369909,1.0244479283405319,0.3016914490430063,1.6617178591,4.9762361988,51.69989735522634,34.5704237429,30.8643443773,117.13466547542635,10.5581581155,0.04190607350254805,0.13505092521766807,0.009077603521751493,0.0100939866,5.4013363892,0.0034792968,148257777825.0,30527099273,0.0,1.1417109419,0.102836086,0.9570918322,-1.8678316534756279,2.729015711179343,304716392400,66242694,52.1156509077,0.5306670927,0.1079909565,1.4926961076,99.82556861289488,8668.3347482667,5.4305035525
CMG,2013,2,1.4952154441,1.8742991276,1.005531897779363,0.2979771415066299,1.6103873777,5.059312086,56.74531690838925,42.3449353173,34.4154121718,133.50566439748926,8.6196849107,0.019046134065487812,0.14040372324423525,-0.01138267898916108,0.0154426725,4.6968142515,0.0052197975,174791464486.0,10662835503,0.0,1.1139564781,0.0806000625,0.8697509365,-0.5507124833000545,2.950908689905079,264970776000,66242694,29.363421982,0.4747875587,0.0938339569,8.4297020558,-96.19940241258908,8424.820588366,5.2802408958
CMG,2013,1,1.4496055127,1.7961593278,0.998887264742737,0.30313438073313737,1.6307172331,5.3718010804,57.936988893523974,49.1931539704,36.7944875829,143.92463044682395,7.4197316199,0.03959572792875359,0.18940267356402787,-0.0029559645642488865,0.0202856323,5.1664956766,0.0070542717,163788181602.0,19971292785,0.0,1.1843248134,0.0788382358,0.8783299171,-1.0547786932008867,2.8975130147856016,291467853600,66242694,24.173204536,0.5014694519,0.104289339,4.5878621638,-22.50707635773388,8774.2134294649,5.7968766213
